tweetId,Personal_Attack
1033038428370292736,0
1029190851421863936,1
1032735416250707969,1
1040822472004665344,0
1029611072582549504,1
1031709619473793024,1
1032651767979429888,1
1040253988350910466,1
1034215846384525313,0
1026029894315257856,0
1028608998495473664,0
1031347279326633984,0
1024222933156290560,0
1030399870417465344,0
1053422136713449472,1
1028082425329602560,1
1034890506768195584,0
1026996865760411648,0
1031051550167261184,1
1034968046073348096,0
1033782842759766016,0
1033803546733436928,0
1034867182331674624,0
1034964439349571584,0
1028275187983237120,1
1034677238543933440,1
1053103707032829952,0
1030808679933718529,0
1033514320422944768,0
1034984587712233473,0
1033134630881427456,0
1034441810976927744,0
1033065082882859008,0
1029131594907443200,1
1034883089166610432,1
1035540596218384384,0
1038796184503111680,0
1034942534269771778,1
1034658461404078080,0
1033148554666225664,0
1032195759867875328,1
1029647924203057152,0
1032683870892843008,0
1029756777422827521,0
1026502174652751874,1
1028025904969052160,0
1034806336226091008,0
1031202581865873408,0
1028616594140868611,0
1032696097066692608,0
1029763375868338176,1
1033334463055507456,0
1033880972960391169,1
1060369376409456640,1
1040947067676512256,0
1032942869127016450,1
1030014114247131136,0
1030049056524066818,0
1032222875942572033,0
1028670096053596160,0
1030423011508277248,0
1051695798960967680,0
1028550563884032003,0
1032761086670503937,0
1027464868637618177,1
1035151352358420480,1
1029856119877857280,0
1035525900929064960,0
1033637232530403328,0
1029340164588490754,1
1027584150059057153,0
1023938309066838016,1
1026479940533813248,0
1031336833555341312,1
1049742908465790978,0
1030403740346531840,0
1030494509082312704,0
1030232221733609472,0
1030853953091584000,1
1034107898018721793,0
1027633472532303877,0
1032582497253638144,0
1027000376757641218,0
1034248126280937472,1
1031625997651730432,0
1031961121471705088,0
1032960718847598592,0
1034584706078199808,0
1033148325208514567,1
1033405584907718656,0
1034840832199802886,0
1034551208579682304,0
1029660233877135360,0
1035518039360512002,0
1035129958337863680,0
1032747679263203328,0
1028800410654572545,0
1033451570703228928,0
1034262426080792576,0
1027586625784741888,0
1053617205198372864,1
1032549754323001344,1
1049472447521669120,0
1034479079960051712,1
1032073940930322432,0
1027460065350041600,0
1053119852238589952,0
1027357362212954112,0
1033798484623847426,0
1055320489382400006,1
1030352287301074944,0
1034190166007541760,0
1031607580794208271,0
1021776188174491654,0
1029044904968638465,0
1033162947659530241,1
1028059710497452032,1
1025659137806557184,0
1027959259512889345,0
1035477037794975744,0
1034660907119329282,0
1053430467280678912,1
1035205488647069696,0
1032197940910215168,0
1054632332068454401,0
1034978473633300480,1
1028467844906795008,0
1035356088466632706,0
1053091428719562752,0
1026152424195719170,0
1032639509366747136,1
1054425911599210496,0
1035267278198251522,1
1032473880483454976,0
1028509616387239936,1
1030413776091324416,0
1034487895892127745,0
1046880295583199234,0
1032205472630226945,0
1033872983889248258,0
1027230254555975682,1
1034978861593833473,0
1029399031401906177,1
1034941678023593986,0
1049567616275283969,0
1028410083221364738,0
1032459036401324034,0
1027423124004986880,1
1025707717418053632,0
1032551661384998912,1
1034263786490933248,0
1030768659571109888,1
1029585613715124225,0
1034549241157505024,0
1032045492899864577,1
1029886196279902208,0
1041056092246220800,0
1035542668644962304,1
1035434719301840897,0
1026956451703672833,0
1035061465382707200,1
1032796542351167489,0
1031552815376871424,0
1029894599987343361,0
1032927410663157760,0
1027010887058685952,0
1031707130296815616,1
1062385067228626944,1
1035167692423135233,0
1029503066855235584,0
1031175000378810368,0
1058023856965849091,0
1030559502586863617,0
1032496730636410880,0
1054446173065543680,0
1026798155797430272,0
1029767881679163395,0
1032742692336361473,0
1030437456850632707,0
1034504857812717569,1
1031567212069437440,1
1036698723861098496,0
1034547887177224192,1
1028013996077604864,0
1028389418896261120,1
1058238477513351168,0
1031389732683571200,0
1031337985093066752,0
1029132331892834304,0
1028739426296492032,0
1028023057519194112,0
1027572172414431232,1
1032667044867530753,0
1025951807829356544,0
1062166444132261888,0
1032467504466219008,0
1055898658867175425,0
1029832077812879360,0
1035543928815009792,0
1032414808111366145,1
1034622134373367808,1
1031859157450797057,0
1031672467209826309,0
1033400180475944960,0
1035406647345246208,0
1033575494334201857,1
1048137252528779264,0
1031165086566703110,0
1027673837742243842,1
1034635080252235777,0
1029709452801265664,0
1048203006309814274,0
1027510575105040384,0
1033842725966110720,0
1058883761276928000,0
1028024882695532544,0
1035007092254486528,0
1026797391050039297,0
1031920922347929600,1
1027373168279920640,1
1034697314487681024,1
1032247389690552320,0
1035122966701457408,0
1025551833413115909,0
1032503846130671616,0
1034303018618023936,1
1027639548866646017,0
1031878782020460546,0
1029034917722771456,1
1029686068239630336,1
1032304122534318080,0
1032375965039513601,0
1028354056711024641,1
1026078206523203584,1
1034394024419962880,0
1034266280960782336,1
1047214056199901185,0
1028591906035445760,0
1046519307163889665,1
1033916635185393664,1
1034117006403031040,0
1027670166111481858,0
1037738575398350849,0
1054902623021776897,1
1027197717884354560,1
1028082215719190528,0
1030283854907469824,0
1032222105964883969,0
1035254099611189248,1
1034534270549848064,1
1032038982073368577,0
1027157214514085888,0
1033367602335244288,1
1033082192287526912,0
1027946766379802626,0
1028352128597872646,0
1027625895190650881,0
1030636026719547392,1
1026047926534066176,1
1032972969667162114,0
1033817385168302081,0
1033422748960284672,1
1029366272926969856,0
1032884317364662272,0
1054120925011079168,0
1031822447681495040,0
1026856480216104960,0
1034150790397456384,1
1028250426997497862,0
1033449137608507393,1
1031005372595798016,0
1048465872300457984,0
1032978401437655041,0
1029686040758431744,0
1034253138440736769,0
1027906398104035329,1
1026822541615214592,0
1030404980237201408,0
1025997112620638208,1
1033514260184412160,0
1028268239393107968,1
1032630297496641537,0
1033813820278546432,1
1039730462745407488,1
1052645548774346752,0
1033869912547237888,0
1029770679229587457,1
1047697413228650496,0
1035184118026432512,0
1033427227210342400,0
1046588316756238336,0
1036792460540891136,1
1025580151034142720,0
1027739378993569793,1
1029146199016828928,0
1031698104993677316,0
1030892858956505088,0
1028365103853449217,1
1032783193794076677,1
1035410310855909378,0
1027519434267811840,0
1028745431306711046,0
1031215298878296064,1
1029809090665504769,0
1034119584192884736,0
1033614577416593413,0
1029354327763247105,0
1032354568850616320,0
1051173878318403586,0
1034812425734942721,0
1028851793718112257,0
1026746543913594880,0
1029699079985606657,0
1031885363365773315,0
1032955331125698560,0
1030387788431142912,0
1026940516640935937,0
1028458853162278912,0
1026591295891038221,0
1026818333633638405,0
1028177208752230400,0
1027865879571255297,0
1033947078999924736,0
1029756148377944064,0
1029735314309476352,0
1031598416529379329,0
1025477856170672128,0
1034257681085677569,0
1034322812461232128,0
1031196635534159872,1
1031965892584857600,0
1030290807071358978,1
1032358196625780737,0
1053309861667102720,1
1034170400920555520,0
1052518398624755712,1
1034618206646882304,1
1025943021081116673,0
1028368694722867200,0
1025734641460932609,0
1028351198284283904,0
1053611358040834050,0
1029656932272013312,0
1027854751432667137,0
1059454865045381120,0
1026995365398994945,0
1027240001006968832,0
1027213574920384514,0
1032288537637519361,0
1033181420208963585,0
1035570052928626688,0
1034084327741693952,0
1028764050946121728,1
1035462448591958018,0
1032442759641288705,0
1035058824183472129,0
1032433834288197633,0
1028871552337686528,0
1028235856530878464,0
1025854761390628864,0
1029170192570638336,1
1027539520194076672,0
1031597999066173440,0
1032596010235715584,0
1051454640250867712,0
1034875696009629702,1
1029876072446230529,0
1034294218158530560,0
1033811047206084615,0
1033096386802278405,0
1028013568996847616,1
1031520296665337856,0
1027170525771116544,0
1051614661039271937,1
1031206592375484423,1
1056111429043007488,0
1034800888102219779,1
1033471048640020481,0
1028071663622139904,1
1034940822498816000,1
1028646958834089985,0
1030938207314239488,0
1028212483272650752,1
1036111767082913793,0
1046737381678829568,0
1031644908065632256,1
1033366310833610753,1
1028173475809320961,0
1033483352945262592,0
1047267548964818945,0
1034639852539502593,0
1035333481927270402,0
1045787587171012608,0
1030390521859006465,0
1032438205230940161,0
1059283269009727490,0
1027894953387675649,0
1034907341362290688,1
1029098835962781696,1
1034292614449647616,1
1028785384027840512,0
1033162409551257601,0
1028726146332938240,0
1027165835541065728,0
1035019876190961664,0
1033784374154723328,0
1027489726666821632,0
1056380725899849728,0
1044872134995193856,1
1029233010757914624,1
1035137145285955589,1
1039849979500814337,0
1032735983391973382,1
1057458299287887873,0
1040736097314238464,0
1029802588990918656,0
1034050008654393344,1
1028673733848977408,0
1035017151130812417,0
1050294691386798080,0
1031406251492569088,1
1035332145936363521,0
1027542390834454528,0
1048268664800268290,1
1034543276848803841,0
1037457047791575040,1
1035170640385519616,0
1035390413404692480,0
1028033181495119872,0
1050075794754740226,0
1026613160323833857,1
1052423546893418497,0
1040013021349724161,0
1025811466484629505,1
1032425966490902528,0
1031975239683584000,1
1025855498036424704,1
1033033709426016256,0
